theme,url,img,lines,author
CREATIVITY,/inspirational-quotes/8122-happiness-lies-in-the-joy-of-achievement-and,https://assets.passiton.com/quotes/quote_artwork/8122/medium/20200902_wednesday_quote.jpg?1598565656,Happiness lies in the joy of achievement and the thrill of creative effort.,<Author:0x00007fad62c02648>
CREATIVITY,/inspirational-quotes/8121-create-what-sets-your-heart-on-fire-and-it-will,https://assets.passiton.com/quotes/quote_artwork/8121/medium/20200901_tuesday_quote.jpg?1598565635,Create what sets your heart on fire and it will illuminate the path ahead.,<Author:0x00007fad62c24e78>
CREATIVITY,/inspirational-quotes/8120-creativity-is-the-way-i-share-my-soul-with-the,https://assets.passiton.com/quotes/quote_artwork/8120/medium/20200831_monday_quote.jpg?1598565613,Creativity is the way I share my soul with the world.,<Author:0x00007fad62c5a910>
COURTESY,/inspirational-quotes/8118-kindness-isnt-sacrifice-so-much-as-it-is-being,https://assets.passiton.com/quotes/quote_artwork/8118/medium/20200828_friday_quote.jpg?1597869672,"Kindness isn't sacrifice so much as it is being considerate for the feelings of others, sharing happiness, the unselfish thought, the spontaneous and friendly act, forgetfulness of our own present interests. ",<Author:0x00007fad62c9a498>
COURTESY,/inspirational-quotes/8117-take-care-be-kind-be-considerate-of-other,https://assets.passiton.com/quotes/quote_artwork/8117/medium/20200827_thursday_quote.jpg?1597869639,"Take care, be kind, be considerate of other people and other species, and be loving.",<Author:0x00007fad62ce2978>
COURTESY,/inspirational-quotes/8116-real-strength-entails-being-considerate-and,https://assets.passiton.com/quotes/quote_artwork/8116/medium/20200826_wednesday_quote.jpg?1597869555,Real strength entails being considerate and supportive of people's feelings.,<Author:0x00007fad62d02fc0>
COURTESY,/inspirational-quotes/8119-life-is-short-but-there-is-always-time-enough,https://assets.passiton.com/quotes/quote_artwork/8119/medium/20200825_tuesday_quote.jpg?1597869487,Life is short but there is always time enough for courtesy.,<Author:0x00007fad62d1c718>
COURTESY,/inspirational-quotes/7795-a-tree-is-known-by-its-fruit-a-person-by-their,https://assets.passiton.com/quotes/quote_artwork/7795/medium/20200824_monday_quote.jpg?1597868996,"A tree is known by its fruit; a person by their deeds. A good deed is never lost; whoever sows courtesy reaps friendship, and whoever plants kindness gathers love.",<Author:0x00007fad62d96270>
STRENGTH,/inspirational-quotes/8114-if-you-were-born-with-the-weakness-to-fall-you,https://assets.passiton.com/quotes/quote_artwork/8114/medium/20200821_friday_quote.jpg?1597353972,If you were born with the weakness to fall. You were born with the strength to rise.,<Author:0x00007fad62db4860>
STRENGTH,/inspirational-quotes/6926-maybe-who-we-are-isnt-so-much-about-what-we-do,https://assets.passiton.com/quotes/quote_artwork/6926/medium/20200820_thursday_quote.jpg?1597353926,"Maybe who we are isn't so much about what we do, but rather what we're capable of when we least expect it.",<Author:0x00007fad62ddb118>
STRENGTH,/inspirational-quotes/8113-for-what-it-s-worth-it-s-never-too-late-to-be,https://assets.passiton.com/quotes/quote_artwork/8113/medium/20200819_wednesday_quote.jpg?1597353876,"For what it’s worth: It’s never too late to be whoever you want to be. I hope you live a life you’re proud of, and if you find you’re not, I hope you have the strength to start over again.",<Author:0x00007fad62df6a08>
STRENGTH,/inspirational-quotes/8112-when-something-bad-happens-you-have-three,https://assets.passiton.com/quotes/quote_artwork/8112/medium/20200818_tuesday_quote.jpg?1597353822,"When something bad happens you have three choices. You can let it define you, let it destroy you, or you can let it strengthen you.",<Author:0x00007fad62e152c8>
STRENGTH,/inspirational-quotes/8111-a-true-hero-isn-t-measured-by-the-size-of-their,https://assets.passiton.com/quotes/quote_artwork/8111/medium/20200817_monday_quote.jpg?1597353760,"A true hero isn’t measured by the size of their strength, but by the strength of their heart.",<Author:0x00007fad62eb8068>
APPRECIATING NATURE,/inspirational-quotes/8109-nature-has-been-for-me-for-as-long-as-i,https://assets.passiton.com/quotes/quote_artwork/8109/medium/20200814_friday_quote.jpg?1596663210,"Nature has been for me, for as long as I remember, a source of solace, inspiration, adventure, and delight; a home, a teacher, a companion.",<Author:0x00007fad62ee1418>
APPRECIATING NATURE,/inspirational-quotes/8110-i-took-a-walk-in-the-woods-and-came-out-taller,https://assets.passiton.com/quotes/quote_artwork/8110/medium/20200813_thursday_quote_alt2.jpg?1596841457,I took a walk in the woods and came out taller than the trees.,<Author:0x00007fad62ef9e28>
APPRECIATING NATURE,/inspirational-quotes/8108-there-is-something-infinitely-healing-in-the,https://assets.passiton.com/quotes/quote_artwork/8108/medium/rachel_carson_fixed.jpg?1597769516,"There is something infinitely healing in the repeated refrains of nature – the assurance that dawn comes after night, and spring after winter.",<Author:0x00007fad62f5bd80>
APPRECIATING NATURE,/inspirational-quotes/8107-a-walk-in-nature-walks-the-soul-back-home,https://assets.passiton.com/quotes/quote_artwork/8107/medium/20200811_tuesday_quote.jpg?1596663032,"A walk in nature, walks the soul back home.",<Author:0x00007fad62f79e70>
APPRECIATING NATURE,/inspirational-quotes/7508-i-felt-my-lungs-inflate-with-the-onrush-of,https://assets.passiton.com/quotes/quote_artwork/7508/medium/20200810_monday_quote.jpg?1596662943,"I felt my lungs inflate with the onrush of scenery—air, mountains, trees, people. I thought, ‘This is what it is to be happy.’",<Author:0x00007fad62f88358>
PERSEVERANCE,/inspirational-quotes/4746-it-always-seems-impossible-until-its-done,https://assets.passiton.com/quotes/quote_artwork/4746/medium/20200807_friday_quote.jpg?1596496094,It always seems impossible until its done.,<Author:0x00007fad62fb11b8>
PERSEVERANCE,/inspirational-quotes/8105-great-things-come-from-hard-work-and,https://assets.passiton.com/quotes/quote_artwork/8105/medium/20200806_thursday_quote.jpg?1596213320,Great things come from hard work and perseverance. No excuses.,<Author:0x00007fad62fcbab8>
PERSEVERANCE,/inspirational-quotes/3016-patience-and-perseverance-have-a-magical-effect,https://assets.passiton.com/quotes/quote_artwork/3016/medium/20200805_wednesday_quote.jpg?1596213293,Patience and perseverance have a magical effect before which difficulties disappear and obstacles vanish.,<Author:0x00007fad6302d768>
PERSEVERANCE,/inspirational-quotes/8104-today-if-anything-is-trying-to-hold-you-back,https://assets.passiton.com/quotes/quote_artwork/8104/medium/20200804_tuesday_quote.jpg?1596213265,"Today if anything is trying to hold you back, give no attention to it. Get your hopes up, get your faith up, look up, and get ready to rise up.",<Author:0x00007fad63041e20>
